#,Chip Version,,,,,,,,
,# addr=0x001,,,Name,Destination,Description,,Region,Loc
,[15:0],0xbeef,RD,CHIP_VER,Digital,,internal,,
,,,,,,,,,
#,Control,,,,,,,,
,# addr=0x002,,,Name,Destination,Description,,,
,[15],0x01,WR,io_enable,Digital,,,,
,[14],0x00,WR,io_suspend,Digital,,,,
,[13],0x01,WR,io_send_mode,Digital,,,,
,[12],0x00,RD,io_send_done,Digital,,,,
,[11],0x01,WR,io_pkt_len_mode,Digital,,,,
,[10:9],0x02,WR,io_payload_mode,Digital,,,,
,[8],0x00,WR,reset,Digital,,,,
,[7],0x00,WR,io_total_send_count_clr,Digital,,,,
,,,,,,,,,
#,io_send_count,,,,,,,,
,# addr=0x003,,,Name,Destination,Description,,,
,[15:0],0x100,WR,io_send_count_low,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_send_count_2,,,,,,,,
,# addr=0x004,,,Name,Destination,Description,,,
,[15:0],0x00,WR,io_send_count_hign,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_pkt_len_init,,,,,,,,
,# addr=0x005,,,Name,Destination,Description,,,
,[15:0],0x0064,WR,io_pkt_len_init,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_inter_frame_gap,,,,,,,,
,# addr=0x006,,,Name,Destination,Description,,,
,[15:0],0x12,WR,io_inter_frame_gap,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_da_l,,,,,,,,
,# addr=0x007,,,Name,Destination,Description,,,
,[15:0],0xeeff,WR,io_da_l,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_da_m,,,,,,,,
,# addr=0x008,,,Name,Destination,Description,,,
,[15:0],0xccdd,WR,io_da_m,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_da_h,,,,,,,,
,# addr=0x009,,,Name,Destination,Description,,,
,[15:0],0xaabb,WR,io_da_h,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_sa_l,,,,,,,,
,# addr=0x00a,,,Name,Destination,Description,,,
,[15:0],0x4455,WR,io_sa_l,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_sa_m,,,,,,,,
,# addr=0x00b,,,Name,Destination,Description,,,
,[15:0],0x2233,WR,io_sa_m,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_sa_h,,,,,,,,
,# addr=0x00c,,,Name,Destination,Description,,,
,[15:0],0x0011,WR,io_sa_h,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_etype,,,,,,,,
,# addr=0x00d,,,Name,Destination,Description,,,
,[15:0],0x8800,WR,io_etype,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_total_send_count_l,,,,,,,,
,# addr=0x00f,,,Name,Destination,Description,,,
,[15:0],0x00,RD,io_total_send_count_l,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_total_send_count_m,,,,,,,,
,# addr=0x010,,,Name,Destination,Description,,,
,[15:0],0x00,RD,io_total_send_count_m,Digital,Addr[15:0],,,
,,,,,,,,,
#,io_total_send_count_h,,,,,,,,
,# addr=0x011,,,Name,Destination,Description,,,
,[15:0],0x00,RD,io_total_send_count_h,Digital,Addr[15:0],,,
